meta,id,name,description,mitra_id,start_period,months_duration,activity_type,location,fields_of_study,quota,min_semester,skills,web_portal,show_salary,mobilization,accommodation,is_applied,wishlist,is_external,external_platform_name,external_platform_logo_url,salary
,73b7e9b4-cbd1-4144-a2f6-48054f630d13,Customer Support Intern,"What you will do:

Membalas pertanyaan user

Membantu penyelesaian kendala user dan melakukan proses pengecekkan

Melakukan dokumentasi kendala user

Requirements :

Memiliki laptop yang bisa mengakses spreedsheet dan google meet

Memiliki jaringan internet yang baik

Mau belajar dan memiliki attitude yang baik

Bisa berkerja dalam tim maupun perorangan
",097ae2b4-abbe-4e5d-a405-bcf8217da3ea,2024-02-06T07:28:52.149199+07:00,0,WFH,Ciputat,,2,0,,https://kerja.kitalulus.com/id/lowongan/detail/customer-support-intern-8sqi?utm_source=website&utm_medium=govtech&utm_campaign=arkademi-cs,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,cb75d538-b26d-4c9e-a103-7e3e62fcdc68,Finance Admin Internship,"- Pria/wanita
- Berpengalaman dibidangnya
- Komunikatif
- Jujur dan bertanggung jawab
- Dapat bekerjasama dalam tim maupun individu
- Bekerja dibawah tekanan
",e1547147-2f45-43d6-9a88-38d24610fbb1,2024-02-06T07:28:52.149199+07:00,0,WFO,Pondok Aren,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/finance-admin-internship-nl4b?utm_source=website&utm_medium=govtech&utm_campaign=suryanusantara-financeadmin,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,8a94da3f-ae2b-4d01-814c-180213abe03c,Brand Intern,"- Semester akhir atau fresh graduate
- Penempatan Jakarta
",e11ceed4-4513-4073-8674-eb7950a05c2b,2024-02-06T07:28:52.149199+07:00,0,WFO,Kembangan,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/brand-intern-7jgd?utm_source=website&utm_medium=govtech&utm_campaign=sociolla-brand,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,ba9a899b-6f25-4ddc-9f51-dbe32418e646,Project Intern,"- Mahasiswa tahun terakhir jurusan psikologi
- IPK min 3.0
- Mampu WFO (Senin-Jumat)
",9326b6b9-c38c-4d76-b119-9ca288dcc853,2024-02-06T07:28:52.149199+07:00,0,WFO,Kramat Jati,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/project-intern-qcuy?utm_source=website&utm_medium=govtech&utm_campaign=indomobil-project,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,f9ecd5a9-32cd-485e-825b-691553840781,HR Internship,"Perempuan / Laki-Laki

Freshgraduate / Mahasiswa Tingkat Akhir Program Studi Psikologi, MSDM atau yang relevan

Bertanggungjawab, jujur dan disiplin

Mengetahui dan paham mengenai Human Resource

Domisili Yogyakarta
",9e427b37-c6e2-46a1-9571-c2b15804c020,2024-02-06T07:28:52.149199+07:00,0,WFO,Depok,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/hr-internship-idv6?utm_source=website&utm_medium=govtech&utm_campaign=saladnyoo-hr,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,941bd529-c27b-49a4-9658-0ed6137ec028,Digital Marketing Paid Internship,"- Masih Kuliah/Fresh Graduate Jurusan Komunikasi. Marketing Lebih Diutamakan.
- Perempuan Usia 17-27 Tahun.
- Berkeinginan Belajar Keahlian Baru.
- Mempunyai Pencalaman/ Keinginan Belajar Mengelola Sosial Media (Instagram, Tiktok, Facebook).
- Belajar Untuk Memperluas Potensi Pasar Di E-Commerce (Shopee & Tokopedia).
- Mencikuti Tren, Komunikatif, Dan Taat Terhadap Deadline.
-Memiliki Pengalaman Dalam Menangani Media Sosial Dan Penulisan Konten/Copywriting 8. Mencikuti Tren, Tahu Cara Menggunakan Kata-Kata Yang Menarik Untuk Encourage Audience. 9. Ekstrovert Dan Memiliki Kepribadian Menulis Yang Unik 10.Nyaman Berada Di Depan Kamera 11. Terampil Dalam Mengedit Video Simple Atau Capcut Merupakan Nilai Plus.
",b70d8314-5026-43c6-88ad-ab05a838ebd0,2024-02-06T07:28:52.149199+07:00,0,WFO,Sambikerep,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/digital-marketing-paid-internship-wqsh?utm_source=website&utm_medium=govtech&utm_campaign=renjana-digitalmarketing,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,e020d350-9389-45a7-8c42-ab700dcc5d82,Staf Pajak (Magang),"Mengumpulkan, mengatur, dan menyiapkan dokumen perpajakan perusahaan.

Merekap SPT masa PPN, PPh 23, PPh 4 (2), PPh 21 & PPh Badan

Merekap dan scan Invoice dan Faktur Pajak Keluaran

Merekap dan scan Faktur Pajak masukan, SPK, SP3K

Scan Bukti Potong


",66da1757-f8b8-4aee-aebc-6f942945d7e9,2024-02-06T07:28:52.149199+07:00,0,WFO,Penjaringan,,2,0,,https://kerja.kitalulus.com/id/lowongan/detail/staf-pajak-magang-5h28?utm_source=website&utm_medium=govtech&utm_campaign=galuh-staffpajak,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,99660a00-6f28-4087-b77d-d783c6cd9878,Marketing (Internship),"Responsibilities

Learn to analyze and develop marketing strategies and campaigns

Conduct presentations/explanations of company products and services

Assist in negotiating and selling company products or services process

Prepare sales and administration documents (QL, mou, etc)

Assist in facilitating the team and maintaining communication with clients during the project

Compile project administration documents (bast, invoice, etc.)

Maintain relations between the company and the client to increase satisfaction and retention ratio

Qualifications

Active university students with a minimum of enrolling in 3rd year are welcome to apply

Open for from all majors of education preferably management/business/marketing

Have good communication and negotiation skills

Good command of English (verbal and oral) is a plus point

Willing to work onsite in Malang, Jawa Timur
",1731707c-ab32-4da8-816d-f2e88fcfaf33,2024-02-06T07:28:52.149199+07:00,0,HYBRID,Kedungkandang,,2,0,,https://kerja.kitalulus.com/id/lowongan/detail/marketing-internship-v6q4?utm_source=website&utm_medium=govtech&utm_campaign=sekawanmedia-marketing,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,77e34ed8-1176-4c59-8d9e-ccd2a8b62762,Internship Estimator,"-Fresh Graduate / Mahasiswa Tingkat Akhir/Lulusan SMK (Jurusan Teknik Sipil/DPIB)
-Berdomisili di Bogor
-Mengenal cara pembuatan BOQ/RAB
-Memiliki keinginan untuk mengembangkan diri
",eef5f5c6-149b-49b7-98ec-93c04ad1b031,2024-02-06T07:28:52.149199+07:00,0,WFO,Bogor Barat - Kota,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/internship-estimator-htll?utm_source=website&utm_medium=govtech&utm_campaign=bestari-estimator,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,a3ee765a-4e8d-4aaa-a4b3-6aa93a6cd2e4,Staf Admin Kantor ( Internship),"Lulus dengan nilai minimum rata - rata 90 / 100 atau IP min. 3.0 .

Khusus Mata pelajaran / kuliah utama sesuai Kompetensi keahlian minimum 90 atau predikat A.

Mampu mempergunakan microsoft excel min. fungsi logika dasar ( ada test kompetensi).

Kemampuan bekerja cepat dan tepat dengan komputer ( ada test kompetensi).

Kemampuan Berbahasa Indonesia Lisan dan Tulisan - Memahami uraian , menyimpulkan dan meringkas isi bacaan. ( ada test kompetensi).

Kemampuan Membuat Laporan dan berkorespondensi Bisnis ( ada test kompetensi)
",8baf52a8-35b3-4d1d-a0d5-aa5afd587d4b,2024-02-06T07:28:52.149199+07:00,0,WFO,Kalideres,,5,0,,https://kerja.kitalulus.com/id/lowongan/detail/staf-admin-kantor-internship-bcdf?utm_source=website&utm_medium=govtech&utm_campaign=crystalanugrah-adminkantor,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
